# шкаф;l1;l2;lo;система
159;41;256;297;124(2) 507(2) 539(2) 661(1) 706(2) 740(2) 801(1) 890(2) 940(2) 1276(2) 1294(2) 1510(2) 1528(2) 1636(1) 1651(2) 1704(2) 1722(2) 1765(2) 1779(2) 1807(2) 1816(2) 1903(1) 2064(2) 2069(2) 2070(2) 2097(2) 2185(2) 2210(2) 2269(2) 2376(2) 2506(2) 2554(1) 2623(2) 2635(2) 2646(2) 2710(2) 2825(2) 2878(2) 2991(2) 2997(2) 3015(2) 3046(2) 3163(2) 3243(2) 3284(2) 3534(2) 3544(1) 3643(2) 3660(2) 3674(2) 3725(2) 3743(2) 3750(2) 3755(1) 3899(2) 3920(2) 3993(2) 3995(2) 4100(1) 4234(2) 4240(2) 4244(2) 4247(2) 4277(2) 4486(2) 4498(2) 4570(2) 4575(2) 4613(2) 4679(2) 4723(2) 4908(2) 4928(2) 4993(2) 4999(2) 5020(2) 5074(2) 5093(2) 5102(2) 5103(2) 5146(2) 5147(2) 5305(2) 5337(1) 5350(2) 5371(2) 5380(2) 5430(2) 5478(1) 5517(2) 5628(2) 5677(2) 5761(2) 5764(2) 5795(2) 5855(2) 5868(1) 5946(2) 6018(2) 6099(2) 6141(2) 6248(2) 6268(2) 6283(1) 6324(2) 6357(2) 6365(2) 6406(2) 6412(2) 6543(2) 6564(2) 6755(1) 6786(2) 6876(2) 6915(2) 6956(2) 6960(2) 7108(1) 7110(2) 7132(1) 7137(2) 7155(2) 7199(2) 7244(2) 7410(2) 7424(2) 7441(2) 7477(2) 7500(2) 7567(2) 7578(2) 7599(2) 7626(2) 7665(1) 7699(2) 7750(2) 7840(2) 7852(2) 7856(1) 8005(2) 8024(2) 8053(2) 8140(2) 8154(1) 8177(2) 8243(2) 8508(2) 8570(2) 8581(2) 8648(2) 8684(1) 8691(2) 8716(2) 8798(2) 8816(2) 8825(2) 8833(2) 8853(2) 8935(2) 9011(1) 9064(2) 9076(2) 9094(2) 9259(2) 9305(2) 9331(2) 9352(2) 9442(2) 9579(2) 9580(2) 9606(2) 9742(1) 9787(1) 9924(1) 10033(2) 10081(2) 10083(2) 10106(2) 10122(2) 10232(2) 10287(2) 10295(2) 10299(2) 10321(2) 10405(2) 10430(2) 10435(2) 10438(2) 10443(2) 10472(2) 10482(2) 10602(2) 10623(2) 10776(2) 10809(2) 10821(2) 10886(2) 10912(2) 10915(2) 10956(2) 11000(2) 11049(1) 11314(2) 11343(2) 11366(2) 11415(1) 11422(2) 11432(2) 11497(2) 11541(2) 11587(2) 11588(2) 11590(2) 11766(1) 11784(2) 11835(2) 11908(1) 12033(2) 12080(2) 12261(1) 12334(2) 12387(2) 12414(2) 12437(2) 12465(2) 12522(1) 12534(2) 12595(1) 12613(2) 12627(2) 12631(2) 12662(2) 12858(2) 12882(1) 12885(2) 12886(2) 12962(2) 12967(2) 12971(2) 13036(2) 13095(2) 13280(2) 13417(1) 13467(2) 13478(2) 13537(2) 13605(1) 13661(2) 13808(2) 13820(2) 13884(2) 13940(2) 13941(2) 13962(1) 14025(2) 14250(2) 14268(2) 14318(2) 14403(2) 14447(2) 14496(1) 14498(1) 14508(2) 14559(2) 14598(2) 14704(2) 14712(2) 14863(2) 14890(2) 14930(2) 14938(2) 14975(2) 14989(1) 15002(2) 15125(2) 15143(1) 15183(1) 15214(1) 15216(2) 15330(2) 15333(2) 15382(2) 15401(2) 15416(2) 15433(2) 15462(2) 15514(2) 15561(2) 15636(2) 15700(2) 15722(2) 15731(1) 15905(2) 15977(2) 16017(2) 16041(2) 16051(2)
582;16;147;163;245(2) 299(2) 398(2) 443(2) 584(1) 594(2) 804(2) 892(2) 920(2) 1035(2) 1260(2) 1265(2) 1377(2) 1417(2) 1554(1) 1858(2) 1866(2) 1924(2) 1937(2) 2155(2) 2166(2) 2169(2) 2171(2) 2177(2) 2204(2) 2205(2) 2248(2) 2296(2) 2308(2) 2373(2) 2443(2) 2483(1) 2817(2) 2959(2) 3219(2) 3565(1) 4044(2) 4084(1) 4265(2) 4293(2) 4568(2) 4594(2) 4699(1) 4799(2) 4991(2) 5169(2) 5191(2) 5200(2) 5258(2) 5265(2) 5487(2) 5519(2) 5561(1) 5684(2) 5710(2) 5739(2) 5774(1) 5802(2) 6003(1) 6134(2) 6267(2) 6276(2) 6497(2) 6506(2) 6536(2) 6570(2) 6828(1) 7240(2) 7259(2) 7328(2) 7376(2) 7411(2) 7435(2) 7596(2) 7644(2) 7665(1) 7755(2) 7762(2) 7832(2) 7956(2) 8062(2) 8212(2) 8230(2) 8298(2) 8498(2) 8564(2) 9006(2) 9014(2) 9052(2) 9085(2) 9089(2) 9093(2) 9210(2) 9265(2) 9329(2) 9346(1) 9624(2) 9729(2) 10031(2) 10121(2) 10375(2) 10390(2) 10459(2) 10510(2) 10633(1) 10704(2) 10748(2) 10764(2) 10785(2) 10841(2) 11042(2) 11376(1) 11487(2) 11496(2) 11572(2) 11618(2) 11731(2) 11833(2) 11883(2) 11928(2) 12085(2) 12088(2) 12101(1) 12102(2) 12120(2) 12159(2) 12264(2) 12951(1) 12960(2) 13096(2) 13128(2) 13382(2) 13689(2) 13722(2) 13767(2) 13928(2) 14036(2) 14046(2) 14174(2) 14303(2) 14359(2) 14404(2) 14417(2) 14435(2) 14436(2) 14455(2) 14506(2) 14609(2) 14734(2) 14894(2) 14947(2) 15000(2) 15010(2) 15123(2) 15165(2) 15275(2) 15296(2) 15387(2) 15400(2) 15411(2) 15555(2) 15592(2) 16021(2)
747;15;144;159;136(2) 141(2) 146(2) 674(2) 816(2) 1204(2) 1549(1) 1806(2) 1808(2) 1823(2) 1917(2) 2050(2) 2133(2) 2239(2) 2302(2) 2327(2) 2431(2) 2577(2) 2589(2) 2608(2) 2659(2) 2769(2) 2772(2) 2873(2) 3056(2) 3057(2) 3195(2) 3285(2) 3337(2) 3382(2) 3384(2) 3461(2) 3627(2) 3631(2) 3648(2) 3686(2) 4260(2) 4450(1) 4617(2) 4657(2) 4772(2) 4802(2) 4825(2) 4867(2) 4875(2) 5116(2) 5117(2) 5436(1) 5459(2) 5612(2) 5734(2) 5915(2) 6015(2) 6017(1) 6038(2) 6164(2) 6187(2) 6253(2) 6317(2) 6324(1) 6336(2) 6391(2) 6501(2) 6502(2) 6565(1) 6622(1) 6693(2) 6732(2) 6754(2) 6884(2) 6951(2) 7117(2) 7118(2) 7154(2) 7347(2) 7353(1) 7383(2) 7384(1) 7425(2) 7452(1) 7574(2) 7577(2) 7631(1) 7884(2) 8251(2) 8445(2) 8486(2) 8514(2) 8695(2) 8799(2) 8992(2) 9337(2) 9365(2) 9399(2) 9485(2) 9497(2) 9539(2) 9547(2) 9599(2) 9758(2) 9784(2) 9894(2) 9913(2) 10277(2) 10296(2) 10343(2) 10344(2) 10378(2) 10414(2) 10418(2) 10422(2) 10427(2) 10471(2) 10877(2) 10925(2) 10993(2) 11022(2) 11065(2) 11073(1) 11149(2) 11335(2) 11413(2) 11438(2) 11474(2) 11491(2) 11579(2) 11656(2) 11663(2) 12028(2) 12122(2) 12402(2) 12453(2) 12595(2) 12637(2) 12638(2) 12640(2) 12643(2) 12764(2) 12886(1) 13298(2) 13507(1) 13542(2) 13563(2) 13666(1) 13792(2) 13817(2) 13853(2) 14115(2) 14726(2) 14937(2) 15106(2) 15138(2) 15546(2) 15715(2) 15825(2) 15836(2) 15947(2) 15961(2) 16040(2)
1152;36;122;158;162(2) 235(2) 382(2) 401(2) 426(2) 555(2) 640(2) 695(2) 778(2) 800(2) 911(1) 943(2) 1227(2) 1263(2) 1697(2) 1886(2) 2101(2) 2131(2) 2318(2) 2374(1) 2651(2) 2724(2) 2793(2) 2854(2) 2889(1) 2935(2) 2978(1) 3138(2) 3307(1) 3525(2) 3763(1) 3783(1) 4059(2) 4210(2) 4318(2) 4587(1) 4901(2) 5197(2) 5493(1) 5676(2) 5718(2) 5762(2) 5798(2) 5800(2) 5933(1) 5935(2) 5948(2) 5969(1) 6106(2) 6159(2) 6288(2) 6791(2) 6854(2) 6957(2) 7523(2) 7541(2) 7544(1) 7633(2) 7655(1) 7707(2) 7854(2) 7867(2) 8092(2) 8110(1) 8162(2) 8291(2) 8448(1) 8505(2) 8656(1) 8819(1) 8864(1) 9027(2) 9042(2) 9316(2) 9374(1) 9388(2) 9438(2) 9491(2) 9868(2) 9989(2) 9990(1) 10111(2) 10212(2) 10285(2) 10315(2) 10417(2) 10505(1) 10508(2) 10574(2) 10639(2) 10661(2) 10759(2) 10848(2) 10917(2) 10966(2) 11283(1) 11285(1) 11319(1) 11338(2) 11355(2) 11392(2) 11434(2) 11470(2) 11592(2) 11610(2) 11623(2) 11885(1) 11887(1) 11904(2) 11930(1) 12081(2) 12249(2) 12383(2) 12556(2) 12578(2) 12715(2) 12870(2) 12877(2) 12883(1) 12937(2) 13000(2) 13076(2) 13132(1) 13179(2) 13196(2) 13259(2) 13305(2) 13367(2) 13503(2) 13508(2) 13610(2) 13802(2) 14016(2) 14021(2) 14054(2) 14096(1) 14360(2) 14485(2) 14531(2) 14616(1) 14623(2) 14847(1) 14860(2) 14940(1) 14941(1) 14982(2) 15134(2) 15162(2) 15171(2) 15184(2) 15212(2) 15252(2) 15278(1) 15355(2) 15736(2) 15759(2) 15864(1) 15960(2)
188;11;127;138;408(2) 609(2) 978(1) 1081(2) 1084(2) 1133(2) 1193(1) 1388(2) 1638(2) 1737(2) 1870(2) 1962(2) 2078(2) 2215(2) 2216(2) 2217(2) 2312(2) 2359(2) 2678(2) 2685(1) 2739(2) 3229(2) 3241(2) 3666(2) 3733(2) 3778(2) 3824(2) 4025(2) 4151(2) 4222(2) 4413(2) 4537(1) 4596(1) 4635(2) 4675(2) 4896(2) 4948(2) 4965(2) 4990(2) 5057(2) 5094(2) 5100(2) 5365(2) 5448(2) 5468(2) 5485(2) 5496(2) 5644(2) 5769(2) 5845(2) 5976(2) 6013(2) 6079(2) 6137(2) 6158(2) 6675(2) 6900(1) 7150(2) 7338(2) 7571(2) 7724(2) 7792(2) 7838(2) 7851(1) 7926(2) 8114(2) 8177(1) 8209(2) 8262(2) 8420(2) 8443(2) 8462(2) 8714(2) 8936(2) 8939(2) 9055(2) 9060(2) 9112(2) 9139(2) 9378(2) 9768(1) 9937(2) 10276(2) 10281(2) 10361(2) 10363(2) 10416(2) 10457(2) 10631(2) 10734(2) 11080(1) 11082(2) 11119(2) 11230(2) 11360(2) 11439(2) 11657(2) 11892(2) 11917(2) 11959(2) 12366(2) 12451(2) 12653(2) 12720(2) 12766(2) 12789(2) 13029(2) 13125(2) 13225(2) 13260(2) 13290(2) 13381(2) 13398(2) 13422(2) 13428(2) 13555(2) 13557(2) 13559(2) 14108(2) 14272(2) 14344(1) 14499(2) 14501(2) 14502(2) 14529(2) 14549(2) 14630(2) 14690(2) 14757(2) 15032(2) 15069(2) 15070(2) 15513(2) 15600(2) 15606(2) 15612(2) 15643(2) 16027(2)
921;9;125;134;126(2) 128(2) 187(2) 258(2) 301(2) 418(2) 595(2) 662(2) 763(2) 772(2) 851(2) 958(2) 1296(2) 1467(2) 1820(2) 1956(2) 2096(2) 2100(2) 2397(2) 2400(2) 2401(2) 2402(2) 2405(2) 2406(2) 2407(2) 2409(2) 2410(2) 2411(2) 2412(2) 2413(2) 2414(2) 2475(2) 2528(1) 2529(2) 2530(2) 2665(2) 2820(2) 2900(2) 2941(2) 3017(2) 3022(2) 3024(2) 3312(2) 3397(2) 3451(2) 3661(1) 3888(2) 3911(2) 4137(2) 4489(2) 4653(2) 5033(2) 5343(2) 5434(2) 5572(2) 5688(2) 5694(2) 5878(1) 5965(2) 5991(2) 6002(2) 6063(2) 6132(2) 6338(2) 6388(2) 6498(2) 6573(2) 6645(2) 6838(2) 7043(2) 7317(2) 7475(2) 7479(2) 7480(2) 8282(2) 8315(1) 8329(2) 8343(2) 8635(2) 8706(2) 8791(2) 8817(2) 8840(2) 8860(2) 9131(2) 9134(2) 9219(2) 9379(2) 9400(2) 10466(2) 10475(2) 10564(1) 10652(2) 10836(2) 10865(2) 10889(1) 10954(2) 11027(2) 11030(2) 11171(2) 11207(2) 11231(2) 11424(2) 11966(2) 11967(2) 11968(2) 12459(2) 12482(2) 12859(2) 12992(2) 12993(2) 13009(2) 13019(2) 13236(2) 13440(2) 13570(2) 13571(2) 13574(2) 13632(1) 13786(2) 13906(2) 14146(1) 14187(2) 14769(2) 14802(2) 15326(2) 15363(2) 15364(2) 15389(2) 15487(2) 15558(2) 15581(2) 15602(2) 15838(1)
846;21;105;126;175(2) 267(2) 277(2) 936(2) 966(2) 978(1) 1031(2) 1122(2) 1192(2) 1255(2) 1501(2) 1509(2) 1573(2) 1742(2) 1805(2) 1943(2) 1981(2) 2036(2) 2138(2) 2140(1) 2218(1) 2334(2) 2473(2) 2480(2) 2522(2) 2534(2) 2552(2) 2657(2) 2673(2) 2685(2) 2688(2) 2768(1) 2791(2) 2883(2) 3160(2) 3163(1) 3185(2) 3241(1) 3364(1) 3404(2) 3431(2) 3524(2) 3702(2) 3826(2) 4060(2) 4142(2) 4262(2) 4370(2) 4440(2) 4501(1) 4513(1) 4537(2) 4600(2) 4776(2) 4955(2) 5259(2) 5441(1) 5595(2) 5623(2) 5635(2) 5862(2) 5875(2) 6283(1) 6392(2) 6578(2) 6697(2) 7009(1) 7097(2) 7608(1) 7665(1) 7688(1) 7693(2) 7718(2) 7830(2) 7924(2) 8172(2) 8290(2) 8460(2) 8651(1) 8757(2) 9189(2) 9901(2) 9975(2) 10250(2) 10465(2) 10503(2) 10523(2) 10599(2) 10608(2) 10650(2) 10737(1) 10934(2) 11268(1) 11726(2) 11772(2) 11790(2) 11801(2) 11834(2) 11893(2) 11954(2) 12130(2) 12144(1) 12171(2) 12474(2) 12546(2) 12774(2) 13342(2) 13451(2) 13543(2) 13544(2) 13717(2) 13734(2) 13874(2) 14210(2) 14376(2) 14383(2) 14501(1) 14628(2) 14666(2) 14989(2) 15167(2) 15192(2) 15417(2) 15548(2) 15552(1) 15878(2)
3955;22;103;125;283(1) 304(2) 412(2) 567(2) 666(2) 702(2) 770(2) 808(2) 903(2) 1052(2) 1057(2) 1107(2) 1158(2) 1524(2) 1544(2) 1556(2) 1657(2) 1707(2) 2009(1) 2137(1) 2299(2) 2309(1) 2329(2) 2428(2) 2464(2) 2519(2) 2576(1) 2582(2) 2793(1) 2849(1) 3060(2) 3073(2) 3120(2) 3177(2) 3189(2) 3433(2) 3559(2) 3622(1) 3636(2) 3716(2) 3772(1) 3858(2) 3915(2) 3985(1) 4128(2) 4133(2) 4162(2) 4171(2) 4179(2) 4184(2) 4445(1) 4488(2) 4492(2) 4497(2) 4558(2) 4628(2) 4946(2) 4974(2) 5001(2) 5071(2) 5340(2) 5348(2) 5432(1) 5513(2) 5516(2) 5645(2) 5853(1) 6004(2) 6090(2) 6182(2) 6246(2) 6304(2) 6342(2) 6484(2) 6774(2) 6812(1) 6925(2) 6927(2) 6952(2) 6991(2) 7040(2) 7101(2) 7174(2) 7189(1) 7296(2) 7552(2) 7675(2) 8014(2) 8161(2) 8184(2) 8493(2) 8579(2) 8680(2) 8708(2) 8803(2) 8836(2) 8941(2) 9140(2) 9355(2) 9695(2) 10111(1) 10217(2) 10227(2) 10242(2) 10376(2) 10424(2) 10639(1) 11319(1) 11354(2) 11734(2) 12178(2) 12211(2) 12394(2) 12396(2) 12397(2) 12403(2) 13508(1) 13592(1) 13793(1) 13995(2) 14068(2) 14619(2) 14650(2) 15064(2) 15150(1)
2169;32;91;123;110(2) 366(2) 527(2) 805(2) 1285(2) 1546(2) 2042(2) 2043(2) 2058(1) 2197(2) 2243(2) 2272(2) 2528(2) 2683(2) 2970(1) 3256(2) 3378(1) 3488(2) 3546(1) 3719(2) 3775(2) 3853(2) 4180(1) 4447(1) 4888(2) 5003(1) 5437(1) 5666(2) 5689(2) 5969(1) 6261(2) 6483(2) 6554(2) 6567(2) 6575(1) 6695(2) 6812(2) 6962(1) 6971(2) 7083(2) 7180(2) 7196(2) 7499(2) 7598(2) 7612(2) 7645(2) 7655(1) 7774(2) 7878(2) 8013(2) 8110(2) 8448(1) 8506(2) 8613(1) 8653(2) 8855(1) 9003(1) 9201(2) 9374(2) 9519(1) 9771(2) 9972(2) 10056(2) 10111(1) 10125(2) 10148(2) 10155(2) 10179(1) 10288(2) 10328(2) 10367(2) 10801(2) 10838(1) 10879(2) 10889(2) 10911(2) 11178(2) 11319(1) 11501(2) 11505(2) 11623(1) 11713(2) 11773(2) 11998(2) 12165(1) 12486(2) 12517(2) 12800(2) 12857(2) 12870(1) 12883(1) 12913(2) 13132(1) 13207(2) 13279(2) 13310(1) 13448(2) 13508(1) 13632(2) 13720(2) 13759(2) 13888(2) 13989(2) 13994(2) 14024(2) 14146(1) 14360(1) 14534(2) 14639(2) 14676(2) 14791(2) 14816(2) 14860(1) 14871(2) 14940(1) 14969(2) 15021(2) 15040(2) 15220(2) 15494(2) 15507(2) 15512(2) 15864(2)
885;21;99;120;90(2) 125(2) 159(2) 163(2) 196(2) 279(2) 421(2) 516(2) 823(2) 846(2) 850(2) 960(2) 1050(2) 1051(2) 1116(2) 1297(2) 1301(2) 1341(2) 1473(2) 1659(2) 1700(2) 1809(2) 2259(2) 2461(2) 2653(2) 3162(2) 3405(1) 3466(2) 3478(2) 3493(2) 3538(2) 3635(2) 3758(1) 3877(2) 3997(2) 4000(2) 4052(2) 4111(1) 4414(2) 4477(2) 4546(1) 4814(2) 5036(2) 5078(2) 5128(2) 5361(2) 5381(2) 5438(2) 5639(2) 5719(2) 5880(2) 5909(2) 5930(1) 6024(2) 6031(2) 6221(2) 6256(2) 6257(2) 6322(2) 6368(2) 6583(1) 6739(2) 6822(2) 6868(2) 6919(2) 6922(2) 7020(2) 7136(2) 7188(2) 7369(2) 7581(2) 7829(2) 7842(1) 8020(2) 8052(2) 8058(2) 8174(2) 8350(2) 8392(2) 8437(2) 8529(2) 8786(1) 8870(2) 8879(1) 9568(2) 9806(2) 9911(2) 10003(2) 10109(1) 10184(1) 10526(1) 10699(2) 10938(1) 11005(2) 11710(2) 11711(1) 11764(2) 12041(1) 12116(2) 12201(2) 12327(2) 13143(1) 13296(1) 13366(2) 13565(1) 13672(1) 13673(2) 13842(2) 14067(2) 14323(2) 14357(2) 14652(1) 14653(2) 15137(1) 15215(2) 15268(2) 15287(2) 15488(2) 15765(2) 15859(2)
41;20;100;120;114(2) 496(2) 502(2) 503(2) 578(2) 661(2) 812(2) 838(2) 1088(2) 1315(2) 1331(2) 1438(2) 1478(2) 1604(2) 1721(2) 1762(2) 2364(2) 2511(2) 2569(2) 2939(2) 3530(2) 3534(1) 3566(2) 3969(2) 4003(2) 4177(2) 4234(1) 4443(2) 4502(2) 4503(2) 4575(1) 4612(2) 5145(2) 5256(2) 5400(2) 5403(2) 5546(1) 5770(2) 5821(2) 5829(2) 5925(2) 6016(2) 6100(2) 6219(2) 6222(2) 6264(2) 6356(2) 6384(1) 6405(2) 6632(2) 6747(2) 6913(1) 7333(1) 7505(2) 7567(1) 7665(1) 7726(2) 7759(2) 7896(2) 7959(2) 7962(2) 8009(1) 8463(2) 8597(2) 8612(2) 8728(2) 8827(2) 8901(2) 8913(2) 9044(2) 9104(2) 9133(2) 9238(2) 9246(2) 9266(2) 9268(1) 9279(2) 9604(2) 9708(2) 10044(2) 10802(2) 11049(1) 11305(2) 11314(1) 11364(2) 11422(1) 11451(2) 11702(1) 11786(2) 12010(2) 12325(2) 12524(2) 12586(2) 12709(2) 12739(2) 12804(1) 12911(1) 13168(2) 13484(2) 13904(2) 13918(2) 13947(2) 13949(2) 13961(2) 13962(1) 13977(2) 14254(2) 14500(2) 14521(2) 14780(2) 14863(1) 14942(2) 15005(2) 15059(1) 15224(2) 15684(2) 15753(2) 15911(2) 15994(2) 15998(2)
1135;8;111;119;393(2) 800(1) 1014(2) 1030(2) 1186(2) 1307(2) 1447(2) 1459(2) 1540(2) 1751(2) 1812(2) 1814(2) 1908(2) 1909(2) 2008(2) 2012(2) 2513(2) 2691(1) 2722(2) 3005(2) 3032(2) 3744(2) 3850(2) 4397(2) 4603(2) 5000(2) 5655(2) 5788(2) 5843(2) 5879(2) 6197(2) 6466(2) 6703(2) 7560(2) 7619(2) 7744(2) 8043(2) 8215(2) 8293(2) 8340(2) 8863(2) 9421(2) 9610(2) 9755(2) 10132(2) 10150(2) 10165(2) 10303(2) 10392(2) 10436(2) 10488(1) 10689(2) 10715(2) 10768(2) 10778(2) 10788(2) 10862(2) 11025(2) 11031(2) 11120(2) 11163(2) 11288(1) 11447(2) 11459(2) 11664(2) 11698(2) 11783(2) 11869(2) 11989(2) 12231(2) 12419(2) 12607(2) 12714(2) 12727(2) 12738(2) 12741(2) 12870(1) 13001(2) 13120(2) 13132(2) 13223(2) 13332(2) 13353(2) 13379(2) 13393(1) 13413(2) 13427(2) 13568(1) 13584(2) 13631(2) 13637(2) 13750(2) 13777(2) 13855(2) 13883(2) 13913(2) 13993(1) 14033(2) 14209(2) 14432(2) 14482(2) 14562(2) 14664(2) 14709(2) 14963(2) 15118(2) 15217(2) 15272(2) 15320(2) 15360(2) 15461(2) 15521(2) 15625(2) 15662(2) 15695(2) 15707(2) 15708(2) 15775(2) 15850(2)
11799;15;104;119;253(2) 405(2) 451(2) 709(2) 1348(2) 1349(2) 1350(2) 1359(2) 1362(2) 1364(2) 1376(2) 1423(2) 1426(2) 1427(2) 1675(2) 1685(2) 1784(2) 1786(2) 1799(2) 1896(2) 1965(2) 2011(2) 2119(2) 2207(2) 2331(2) 2494(2) 2637(1) 2741(2) 2759(2) 3089(2) 3200(2) 3347(1) 3367(2) 3421(2) 4015(2) 4253(2) 4641(2) 4682(2) 4722(2) 5003(1) 5142(2) 5167(2) 5228(2) 5353(2) 5937(2) 6006(2) 6173(2) 6198(2) 6542(2) 6575(1) 6621(2) 6635(2) 6671(2) 6836(2) 6837(2) 6962(1) 7143(2) 7363(2) 7412(2) 7416(2) 7478(2) 7488(2) 7555(2) 7632(2) 7739(2) 7741(2) 8026(2) 8105(2) 8128(2) 8358(2) 8405(2) 8483(2) 8549(2) 8616(2) 8633(2) 8749(1) 8855(1) 9149(2) 9343(2) 9464(2) 9914(2) 10111(1) 10133(2) 10161(2) 10313(2) 10645(2) 10744(2) 10772(2) 10844(1) 11035(2) 11170(2) 11342(2) 11581(2) 11650(1) 12044(2) 12052(2) 12227(2) 12305(1) 12306(1) 12446(2) 12775(2) 12864(2) 13080(2) 13200(2) 13373(2) 13424(2) 13508(1) 13774(2) 14129(2) 14137(1) 14138(2) 14444(2) 14798(2) 15050(2) 15341(1) 15833(2) 15918(2) 15955(2) 16007(2)
0;3;113;116;99(2) 151(2) 241(2) 379(2) 380(2) 719(2) 742(2) 747(2) 764(2) 873(2) 878(2) 1303(2) 1545(2) 2082(2) 2226(2) 2252(2) 2607(2) 3303(2) 3306(2) 3375(2) 3379(2) 3380(2) 3464(2) 3467(2) 3468(2) 3469(2) 3470(2) 3471(2) 3473(2) 4153(2) 4213(2) 4236(2) 4238(2) 4320(2) 4324(2) 4350(1) 4687(2) 5125(2) 5304(2) 5375(2) 5659(2) 5662(2) 5663(2) 5753(2) 5754(2) 5898(2) 5923(2) 5924(2) 6107(2) 6362(2) 6604(2) 6777(2) 6799(2) 6823(2) 6920(1) 7323(2) 7474(2) 7537(2) 8475(2) 9267(2) 9321(2) 9668(2) 9677(2) 9678(2) 9683(2) 9700(2) 9792(2) 9793(2) 10407(2) 10576(2) 10588(2) 10590(2) 10746(2) 10747(2) 10901(2) 10985(2) 10999(2) 11038(2) 11047(2) 11304(2) 11323(2) 11428(2) 11529(2) 11546(2) 11604(2) 11666(2) 11668(2) 11672(2) 11673(2) 11674(2) 11675(2) 11676(2) 11677(2) 11678(2) 11679(2) 11680(2) 11681(2) 11806(2) 11915(2) 12204(2) 12324(2) 13072(2) 13084(2) 13420(2) 13457(2) 13518(2) 13622(2) 13693(2) 13885(2) 14205(2) 14206(2) 14207(2) 14682(2) 14813(1) 15347(2) 15858(2)
