# шкаф;l1;l2;lo;система
20593;20;40;60;349(2) 1059(2) 1288(2) 1596(2) 1601(1) 2612(2) 2637(1) 2917(2) 2942(1) 3307(1) 3319(2) 3852(2) 3984(2) 4318(1) 4363(2) 4423(2) 4630(2) 5257(2) 5990(2) 6394(2) 6422(1) 6681(1) 7334(1) 7386(2) 7508(1) 7512(2) 7997(1) 9446(1) 9489(2) 9502(2) 9808(2) 9990(1) 10001(2) 10185(1) 10263(2) 10515(1) 10767(2) 11090(2) 11236(2) 11561(1) 11599(1) 11780(2) 12207(2) 12295(2) 12307(2) 12940(1) 13214(2) 13441(2) 13508(1) 13615(2) 13988(1) 14530(2) 14756(2) 14800(2) 15198(1) 15210(2) 15390(2) 15430(2) 15449(2) 15848(2)
9688;19;40;59;191(2) 344(1) 642(2) 800(1) 929(2) 1076(2) 1333(2) 1369(2) 1392(2) 1624(2) 1744(2) 1810(2) 1992(2) 1999(1) 3067(2) 3378(1) 3533(2) 4318(1) 4655(2) 4674(2) 4738(2) 4858(2) 5969(1) 6008(2) 6112(2) 6278(2) 6349(1) 7063(2) 7299(2) 7777(2) 8249(1) 8447(2) 8834(2) 8868(2) 9283(2) 9315(2) 9316(1) 9476(2) 9870(2) 9969(2) 9992(1) 10933(2) 11272(2) 12259(2) 12352(1) 12434(1) 12561(1) 12655(2) 12883(1) 13162(2) 13405(2) 13508(1) 13807(1) 13870(1) 14202(1) 15073(2) 15463(2) 15656(1) 15779(2)
8991;21;38;59;165(2) 246(2) 933(2) 1024(2) 1399(2) 1554(1) 1629(2) 1785(2) 1922(2) 2386(2) 2483(1) 2604(2) 2748(2) 2983(1) 3141(2) 3186(2) 3816(2) 4019(2) 4699(2) 5012(2) 6168(2) 6414(2) 6487(2) 7240(1) 8108(2) 8490(2) 8614(2) 9023(2) 9346(1) 9607(2) 10274(2) 10518(2) 10633(1) 10748(1) 10810(1) 11041(1) 11064(2) 11314(1) 11376(1) 11934(2) 12239(2) 12476(2) 13575(2) 13689(1) 13700(2) 13718(2) 13747(2) 13976(2) 14359(1) 14738(2) 15036(1) 15052(1) 15066(1) 15123(1) 15324(1) 15338(1) 15400(1) 15822(2) 16023(1)
695;8;50;58;526(1) 651(1) 767(2) 874(2) 985(2) 1076(1) 1190(2) 1225(2) 1248(2) 1249(2) 1533(2) 1678(2) 1914(2) 2325(2) 3919(2) 4055(2) 4401(2) 4747(2) 4748(2) 4911(2) 5212(2) 5287(2) 5393(2) 5395(2) 5405(2) 5577(2) 5727(2) 6239(2) 6441(1) 6803(2) 7002(2) 7284(2) 7437(1) 7768(2) 7941(2) 8084(2) 9080(2) 10209(2) 11197(2) 11287(2) 11999(1) 12573(2) 13060(2) 13061(2) 13063(2) 13082(2) 13163(2) 13228(1) 13911(2) 13946(2) 14474(2) 14685(1) 14911(2) 15058(2) 15161(2) 15436(2) 15441(2) 15966(2)
309;17;41;58;608(2) 1133(1) 1193(2) 1615(2) 1618(2) 1642(2) 1650(2) 2215(1) 2220(2) 2678(1) 3362(2) 3381(2) 3653(2) 4222(1) 4596(2) 4599(2) 4675(1) 4773(2) 4965(1) 5080(2) 5448(1) 5468(1) 5643(2) 5769(1) 6379(2) 6770(2) 7150(1) 7563(2) 7792(1) 7851(2) 7862(2) 8409(2) 8679(2) 9768(2) 9785(2) 9950(2) 10352(2) 10868(2) 11080(2) 11360(1) 11603(2) 12137(2) 12219(2) 12338(2) 12450(2) 12464(2) 12483(2) 12487(2) 12697(2) 13125(1) 13398(1) 13510(2) 14344(2) 14499(1) 14743(2) 14757(1) 15457(2) 15612(1)
4254;25;32;57;366(1) 442(2) 1095(2) 2136(2) 2304(2) 2970(2) 4318(1) 4708(2) 5056(2) 5101(1) 5137(2) 5567(2) 6060(1) 6531(2) 6533(2) 6574(2) 7098(2) 7304(2) 7655(1) 8013(1) 8374(2) 8393(2) 8410(1) 8836(1) 9105(2) 9300(2) 9311(1) 9656(1) 10006(2) 10111(1) 10280(2) 11003(2) 11319(1) 11623(1) 11887(2) 12165(2) 12486(1) 12833(2) 12870(1) 12883(1) 12998(2) 13116(1) 13132(1) 13277(2) 13367(1) 13375(2) 13508(1) 13741(2) 13914(1) 14217(2) 14847(2) 15018(2) 15021(1) 15212(1) 15278(2) 15674(1) 15864(1)
30082;37;20;57;781(1) 800(1) 810(1) 1074(1) 1402(2) 1495(2) 2808(1) 3142(2) 3290(2) 3607(1) 3661(1) 3665(2) 4318(1) 4358(1) 4389(2) 4549(1) 5248(2) 5249(2) 5298(1) 5320(1) 5451(1) 5581(2) 5735(2) 5755(1) 6545(2) 6649(1) 6864(2) 6926(1) 7560(1) 8034(1) 8213(2) 8311(2) 8784(1) 9610(1) 9668(1) 9949(1) 10001(1) 10566(2) 10933(1) 11195(2) 11594(1) 11623(1) 11989(1) 12000(2) 12173(2) 12741(1) 13132(1) 13427(1) 13631(1) 13897(1) 14168(1) 14285(2) 14328(1) 14756(1) 14896(1) 14992(1) 15459(2)
2416;16;40;56;9(2) 35(2) 291(2) 1089(2) 1221(2) 1477(2) 2486(1) 4288(1) 4346(1) 4556(2) 4643(1) 4659(2) 4660(2) 4662(2) 5606(2) 5826(2) 6551(1) 6558(2) 6788(2) 6790(2) 7801(2) 7961(2) 7996(2) 8218(2) 9022(2) 9220(2) 9229(2) 9531(2) 9627(1) 9631(1) 9632(2) 9638(2) 9876(1) 9944(2) 9980(1) 10020(1) 10048(2) 10635(1) 11261(1) 11504(2) 11815(2) 12280(2) 12345(1) 12470(2) 12531(1) 12553(2) 12622(2) 13059(2) 13317(2) 13425(2) 14018(2) 14088(1) 14222(2) 14385(2) 15007(1) 15604(2)
11262;20;36;56;157(1) 300(1) 343(2) 542(2) 800(1) 926(1) 1841(1) 1907(2) 2847(2) 3515(2) 3516(1) 4023(2) 4164(2) 4815(2) 4826(1) 4837(2) 4851(2) 5049(2) 5179(1) 5451(1) 5597(2) 5715(2) 5755(1) 6598(2) 6628(2) 6640(2) 6810(2) 6830(2) 7133(1) 7162(2) 7642(2) 8188(1) 8553(2) 8735(1) 9386(2) 9402(2) 9902(1) 10483(2) 10688(2) 10788(1) 11158(2) 12233(2) 12368(2) 12369(2) 12806(2) 13132(1) 13352(2) 13406(2) 13811(2) 14097(2) 14540(1) 14545(1) 15375(1) 15415(2) 15622(2) 15909(1)
7;1;55;56;575(2) 904(2) 988(2) 1555(2) 1747(2) 1977(2) 2605(2) 2872(2) 3624(2) 3625(2) 4186(2) 4198(2) 4621(2) 4622(2) 5051(2) 5202(2) 5491(2) 6109(2) 6152(2) 6153(2) 6469(2) 7146(2) 7665(1) 8211(2) 8338(2) 8341(2) 8342(2) 8788(2) 8807(2) 8808(2) 8809(2) 8811(2) 8813(2) 8815(2) 8828(2) 9332(2) 9750(2) 9841(2) 10038(2) 10531(2) 11009(2) 11156(2) 11330(2) 12432(2) 12509(2) 12807(2) 12835(2) 13176(2) 13208(2) 14241(2) 14451(2) 14745(2) 15312(2) 15504(2) 15522(2) 15729(2)
3039;4;52;56;270(2) 430(2) 466(2) 489(2) 786(2) 811(2) 855(2) 1958(2) 2493(2) 3373(2) 3393(2) 3838(2) 3977(1) 4233(2) 4387(2) 5247(2) 5300(2) 5321(2) 5331(2) 5333(2) 5335(2) 5337(2) 5648(2) 5790(2) 5980(2) 6005(2) 6400(2) 7202(2) 7454(2) 7588(2) 7916(2) 8210(2) 9240(2) 9581(2) 10617(2) 10933(1) 10939(2) 11621(2) 11969(2) 12113(2) 12147(2) 12285(2) 12641(2) 12988(1) 12995(2) 13005(2) 13070(2) 13330(2) 14413(1) 14586(2) 14896(2) 15006(2) 15201(2) 15288(2) 15403(2) 15621(2)
1898;9;47;56;312(2) 610(2) 680(1) 1008(2) 1139(2) 1244(2) 1492(2) 1701(2) 2288(2) 2392(2) 3162(1) 3231(2) 3493(1) 4072(2) 4409(2) 4454(2) 5047(2) 5219(2) 5884(2) 5936(2) 5982(2) 5983(2) 6024(1) 6033(2) 6189(2) 6552(2) 7658(2) 7712(2) 7955(2) 8021(2) 8055(2) 8059(1) 8118(2) 9277(2) 9518(2) 9739(2) 9863(1) 9884(2) 10174(2) 10791(2) 10855(2) 11697(2) 11903(2) 12082(2) 12083(2) 12228(2) 12781(1) 12895(1) 13528(2) 14957(2) 14976(2) 15233(2) 15286(2) 15499(2) 15598(2) 15701(1)
3427;25;29;54;199(1) 248(2) 325(1) 631(1) 1167(1) 1905(2) 2150(2) 3548(1) 3964(2) 4063(2) 4465(1) 4470(2) 4615(1) 4817(1) 4818(2) 4853(1) 5044(1) 5179(1) 5190(2) 5451(1) 5691(2) 6305(2) 6470(2) 7561(2) 7565(1) 7641(2) 7805(1) 8225(2) 8281(1) 8613(1) 8703(2) 8729(2) 8773(2) 8774(1) 9121(2) 9412(2) 9414(2) 9417(1) 9592(1) 10456(2) 10708(2) 11158(1) 11337(1) 11385(2) 12317(2) 12681(2) 12682(1) 13132(1) 13297(2) 13300(2) 13352(1) 14224(2) 14317(2) 14545(1)
15866;21;33;54;264(2) 724(2) 942(2) 1241(2) 1313(2) 1841(1) 2191(1) 2583(2) 2862(2) 2874(1) 3075(2) 3806(2) 4350(1) 4392(2) 4463(2) 4494(2) 4523(1) 5236(1) 5451(1) 5755(1) 5956(2) 6638(1) 6643(2) 6687(1) 6859(1) 7149(2) 7426(2) 7570(1) 7672(2) 7793(1) 9559(2) 9699(2) 9737(2) 9757(2) 10073(1) 10642(2) 11066(2) 11162(1) 11250(1) 11251(2) 11254(2) 11798(2) 12258(2) 13348(2) 13442(2) 13887(2) 14578(2) 14750(1) 15153(2) 15164(1) 15200(1) 15375(1) 15788(2) 15909(1)
3337;24;29;53;292(2) 813(1) 1103(1) 1398(1) 1577(2) 2394(2) 2472(2) 3238(2) 3455(1) 3480(2) 3718(1) 3791(1) 3831(1) 3916(2) 4166(2) 4185(2) 5013(2) 5411(2) 5440(1) 5973(1) 6011(1) 6118(2) 6385(1) 6580(2) 6698(2) 6834(1) 6949(1) 7857(2) 8369(2) 8559(2) 8638(2) 8664(2) 8846(1) 9087(2) 9110(1) 9170(1) 9634(2) 9915(1) 10188(1) 10677(2) 11466(1) 11843(2) 13117(2) 13295(2) 13677(2) 13852(1) 14072(1) 14075(1) 14085(2) 14111(2) 14113(1) 14815(2) 15545(1)
10460;11;42;53;269(2) 295(2) 617(2) 854(2) 896(2) 1103(1) 1118(1) 1539(2) 1586(2) 1838(2) 1975(2) 2598(2) 3113(2) 3519(2) 3522(2) 3830(1) 3834(2) 4829(2) 5760(2) 5894(2) 5973(2) 6346(2) 6740(1) 6742(2) 6820(2) 6834(2) 6949(1) 7037(2) 7681(2) 7979(2) 8142(2) 8332(2) 8846(1) 9170(1) 9384(2) 9548(2) 9582(2) 9915(1) 9957(2) 10099(2) 10188(1) 10676(2) 11788(2) 12224(2) 12656(2) 12906(2) 13172(2) 13321(2) 13561(2) 13770(1) 13862(1) 13867(2) 15970(2)
18695;25;28;53;120(2) 301(1) 639(1) 907(2) 958(1) 1421(2) 1448(2) 1582(2) 1913(2) 2231(2) 2459(2) 4643(2) 5268(1) 5384(2) 5388(1) 5397(2) 5437(1) 5974(2) 6409(1) 6418(2) 6435(2) 6575(1) 6842(1) 6962(1) 7100(2) 8007(2) 8026(1) 8249(1) 8739(1) 8760(1) 8782(2) 9718(1) 10201(2) 10261(2) 10330(2) 10800(2) 11244(2) 11271(1) 12655(1) 12883(1) 12910(2) 12925(1) 13207(1) 13310(1) 13508(1) 13632(1) 13652(2) 13931(2) 13943(1) 14005(2) 14276(1) 14327(2) 15936(2)
2407;2;51;53;11(2) 27(2) 50(2) 626(2) 1126(2) 1129(2) 1216(1) 1529(2) 1532(1) 1608(2) 2765(2) 3263(2) 3385(2) 4362(2) 4394(2) 4683(2) 5651(2) 5987(2) 6154(2) 7407(2) 7438(2) 7439(2) 7443(2) 7444(2) 7445(2) 7753(2) 7948(2) 8368(2) 8954(2) 8986(2) 9161(2) 9227(2) 9358(2) 9588(2) 9748(2) 9836(2) 10605(2) 11043(2) 11057(2) 12043(2) 12378(2) 12853(2) 12919(2) 13069(2) 13649(2) 13683(2) 13779(2) 14086(2) 14400(2) 14714(2) 14771(2) 14785(2) 15595(2)
412;5;47;52;649(2) 654(2) 1226(2) 1251(2) 1371(2) 1384(2) 1432(2) 1450(2) 1451(2) 1486(2) 1971(2) 2638(2) 2955(2) 3143(2) 3192(2) 3213(2) 4178(2) 4360(1) 4467(2) 4721(2) 5039(1) 5133(2) 5182(1) 5466(2) 5905(2) 6074(2) 6075(2) 6442(2) 7212(2) 7993(2) 8347(2) 8621(2) 8665(2) 8926(2) 10017(2) 10078(2) 10332(2) 10368(2) 11160(2) 11607(2) 11638(1) 11936(1) 13199(2) 13856(2) 14223(2) 14629(2) 15248(2) 15346(2) 15464(2) 15480(2) 15665(2) 15735(2)
2396;2;50;52;416(2) 551(2) 627(2) 636(2) 658(2) 1738(2) 2358(1) 2940(2) 3440(2) 3561(2) 3676(2) 3679(2) 4540(2) 6369(2) 6416(2) 6566(2) 6902(2) 7004(2) 7113(2) 7170(2) 7473(2) 7730(2) 7815(2) 7845(2) 8657(2) 8795(2) 8956(2) 9205(2) 9430(2) 9626(2) 10037(2) 10335(1) 10355(2) 10569(2) 10667(2) 11123(2) 11476(2) 11477(2) 11484(2) 11851(2) 12497(2) 12780(2) 12814(2) 12926(2) 13093(2) 14441(2) 14442(2) 14551(2) 14564(2) 15008(2) 15482(2) 16050(2)
2257;9;43;52;423(2) 814(2) 1485(2) 1553(2) 1598(2) 1617(2) 2233(2) 3529(2) 3930(2) 4859(2) 5390(2) 5472(2) 6441(1) 6773(2) 6845(2) 6861(2) 7109(2) 7282(2) 8247(2) 8742(1) 9025(2) 10189(1) 10537(2) 11779(2) 12159(1) 12222(2) 12364(1) 12391(2) 12439(2) 12495(2) 12538(2) 12589(2) 12701(2) 12793(2) 12982(2) 13068(2) 13090(2) 13480(2) 13522(2) 13545(2) 13737(2) 13766(2) 13895(2) 14068(1) 14572(2) 14589(2) 14647(2) 14684(1) 14926(1) 15333(1) 15557(2) 15890(2)
2295;27;25;52;503(1) 604(1) 1671(1) 3194(2) 3341(2) 3951(2) 4067(2) 5925(1) 6016(1) 6384(2) 6426(2) 6430(2) 6632(1) 6913(1) 7759(1) 7859(2) 7896(1) 7973(2) 8099(2) 8208(1) 8569(2) 8827(1) 8851(2) 8911(1) 9179(2) 9222(1) 9878(2) 9879(2) 10044(1) 11049(1) 11314(1) 11381(1) 11761(2) 12399(1) 12539(2) 12560(2) 12631(1) 12804(2) 12845(2) 12846(2) 13198(2) 13376(1) 13790(2) 13927(1) 13962(1) 14910(1) 15005(1) 15015(2) 15059(1) 15202(1) 15671(2) 15911(1)
933;3;49;52;411(2) 570(2) 585(2) 643(2) 667(2) 679(2) 728(2) 755(2) 1041(2) 1111(2) 1389(2) 1990(2) 2159(2) 2286(2) 2565(2) 3053(2) 3308(2) 3309(2) 3560(2) 3727(2) 3902(2) 4563(2) 4880(2) 5211(2) 5535(2) 6367(2) 6722(2) 6743(2) 6827(2) 6881(2) 7420(2) 8178(2) 8390(2) 8888(2) 9138(1) 9432(2) 9537(2) 9623(1) 9645(2) 9875(2) 9881(2) 9970(2) 10981(2) 10987(2) 11186(2) 11900(2) 12045(2) 12543(2) 13140(2) 13963(2) 15541(2) 15640(1)
2154;7;45;52;938(2) 2339(2) 2896(2) 3331(2) 3339(2) 4180(1) 4300(2) 4623(2) 4624(2) 5396(2) 5484(2) 7238(2) 7436(2) 7929(2) 8087(2) 9312(2) 9647(2) 9694(2) 10125(1) 10182(2) 10381(2) 10716(2) 11291(2) 11404(2) 11526(1) 11639(1) 11641(2) 11652(2) 12177(2) 12282(2) 12507(2) 12516(2) 12551(2) 12625(2) 12903(2) 12941(2) 13057(2) 13131(1) 13508(1) 13705(1) 14199(2) 14462(2) 14467(2) 14472(2) 14747(2) 15632(2) 15723(2) 15764(2) 15789(2) 15790(2) 15808(2) 15952(2)
397;21;30;51;81(1) 115(1) 133(1) 664(2) 1667(2) 1863(2) 1875(2) 2483(1) 2983(1) 3383(1) 4194(2) 4522(2) 4528(1) 4576(2) 4579(1) 5981(2) 6211(1) 7055(2) 7111(1) 7129(1) 7236(2) 7237(2) 7665(1) 7770(2) 7847(1) 8148(2) 8499(2) 8512(2) 9038(2) 9097(2) 9148(2) 9346(1) 10186(2) 10187(2) 10275(2) 10394(2) 10633(1) 10946(1) 11016(2) 11314(1) 11471(2) 11714(2) 11850(1) 11908(1) 12423(2) 12784(2) 12797(2) 13026(2) 13387(2) 14391(1) 15038(1)
5914;14;37;51;329(1) 493(2) 599(2) 637(2) 673(1) 1117(2) 1138(2) 1236(2) 1302(2) 1321(2) 1324(2) 1835(2) 2007(1) 2253(1) 2305(2) 2910(2) 3264(1) 3265(2) 3579(2) 4471(2) 4473(2) 4788(2) 4891(1) 4897(2) 4953(1) 5359(2) 5360(1) 5681(2) 6062(1) 6126(2) 6127(2) 6128(2) 6131(2) 7214(2) 7494(1) 7591(1) 7841(2) 7871(2) 8048(2) 8705(2) 9037(2) 10743(2) 11157(2) 12354(2) 13122(2) 13685(2) 13929(1) 14624(2) 14742(2) 15260(1) 15261(1)
7549;11;40;51;139(2) 583(1) 617(1) 663(2) 1017(1) 1075(2) 1692(2) 2223(2) 2249(1) 2393(2) 2478(2) 2498(2) 2540(2) 2541(2) 2545(2) 3187(2) 3340(2) 3746(2) 3818(2) 3830(2) 4203(2) 4368(2) 4574(2) 5034(2) 5107(2) 5442(1) 5587(2) 5782(1) 5975(2) 6208(2) 6216(2) 6223(2) 6326(2) 6348(2) 6386(2) 7800(2) 8067(2) 8446(2) 8474(1) 9091(2) 9092(2) 9110(1) 9170(1) 9351(2) 10409(2) 10676(1) 11423(2) 12521(2) 12824(2) 13517(2) 16000(1)
915;12;39;51;481(2) 928(2) 1379(2) 1926(2) 2265(2) 2300(2) 2743(2) 2752(2) 2761(2) 2794(2) 2809(1) 2876(2) 2909(2) 3055(1) 3328(2) 3968(2) 4190(2) 4305(2) 4365(2) 4892(1) 5833(2) 6708(2) 6800(2) 7950(1) 7970(2) 8524(2) 9050(2) 9196(2) 9290(2) 9425(2) 9542(1) 10134(1) 10213(2) 11133(2) 11137(2) 11140(2) 11188(2) 11193(1) 11213(2) 11649(1) 11812(2) 11902(2) 12523(2) 13127(1) 13341(2) 13960(2) 14881(2) 15425(2) 15896(1) 15971(1) 16012(1)
1311;0;50;50;384(2) 825(2) 894(2) 1387(2) 1857(2) 2186(2) 2295(2) 2782(2) 3426(2) 3427(2) 3462(2) 3484(2) 3508(2) 3512(2) 4159(2) 4163(2) 4778(2) 5363(2) 5989(2) 7139(2) 8830(2) 8904(2) 10022(2) 10722(2) 10842(2) 10893(2) 11023(2) 11128(2) 11211(2) 11552(2) 11655(2) 11716(2) 11983(2) 12660(2) 12730(2) 12753(2) 12755(2) 12897(2) 13257(2) 13269(2) 13630(2) 14245(2) 14266(2) 14300(2) 14696(2) 15014(2) 15476(2) 15657(2) 15660(2) 15901(2)
15049;25;25;50;579(1) 702(1) 950(1) 984(2) 1057(1) 1143(2) 1521(2) 1695(2) 1911(2) 2010(1) 2165(1) 2228(2) 2374(1) 2572(2) 3585(2) 3636(1) 3858(1) 4171(1) 4536(2) 4689(2) 4974(1) 6867(2) 7165(2) 7526(2) 7530(2) 7552(1) 7572(2) 8410(2) 8432(2) 8708(1) 8836(1) 9656(2) 10080(2) 10111(1) 10242(1) 10884(2) 11074(2) 11319(1) 11467(1) 11473(1) 11734(1) 12057(2) 12394(1) 13793(1) 14790(2) 14888(1) 15212(1) 15674(2) 15864(1) 15923(2)
1187;13;36;49;280(2) 1671(2) 3211(2) 3409(2) 3545(2) 3617(2) 5518(2) 5925(1) 6016(1) 6196(2) 6200(2) 6297(2) 6345(1) 6415(1) 6913(2) 7333(2) 7503(2) 7511(2) 7898(2) 8104(2) 8542(2) 8625(2) 8742(2) 9117(1) 9222(1) 9604(1) 9878(1) 10044(1) 10643(2) 11312(2) 11761(1) 11899(2) 12399(2) 12946(2) 13198(1) 13376(2) 13386(2) 13680(2) 13843(2) 13927(2) 13945(2) 13962(2) 14240(2) 14908(2) 15005(1) 15023(2) 15059(2) 15224(1) 15776(2)
1635;6;43;49;217(2) 220(2) 288(2) 305(2) 365(2) 1523(2) 2069(1) 2320(2) 2441(2) 2849(2) 2882(2) 3098(2) 3130(2) 3133(2) 3135(2) 3137(2) 3249(2) 3310(2) 3499(2) 3629(2) 4010(2) 4832(2) 5035(1) 5433(2) 5995(2) 6812(1) 7189(2) 7356(2) 7498(2) 7534(1) 7686(2) 7711(2) 8192(2) 8301(2) 8451(1) 8458(2) 8769(2) 9520(2) 10899(1) 11333(2) 12740(2) 13793(2) 14310(2) 14649(2) 14703(2) 15289(2) 15688(2) 15718(2) 15769(2)
11350;10;39;49;397(2) 557(2) 572(1) 1121(2) 1175(2) 1206(1) 1548(2) 1613(2) 1640(2) 1643(2) 1860(2) 2051(2) 2135(2) 2256(2) 2469(2) 2707(1) 2783(2) 3092(2) 3590(2) 3593(2) 3641(1) 4644(2) 5470(2) 5594(2) 5995(1) 6067(2) 6328(2) 6847(2) 6899(2) 6935(1) 7403(2) 7866(1) 8639(2) 8812(1) 9112(1) 10279(2) 10547(2) 10735(2) 10866(2) 11219(2) 12528(2) 12530(2) 13116(2) 13389(2) 15170(2) 15457(1) 15647(2) 15740(2) 15950(2)
388;0;49;49;84(2) 1435(2) 1498(2) 1505(2) 1511(2) 1514(2) 1534(2) 1817(2) 2250(2) 2517(2) 2675(2) 3567(2) 3633(2) 3644(2) 4457(2) 4481(2) 4871(2) 5022(2) 5112(2) 5203(2) 5446(2) 5464(2) 5509(2) 6289(2) 6562(2) 8228(2) 8380(2) 8921(2) 9947(2) 10199(2) 10222(2) 10311(2) 10885(2) 10909(2) 11100(2) 11620(2) 11819(2) 11882(2) 12392(2) 12395(2) 12762(2) 12882(2) 13100(2) 13113(2) 13704(2) 14292(2) 14636(2) 15174(2) 15999(2)
2059;8;41;49;88(2) 339(2) 975(2) 976(1) 977(2) 978(2) 980(2) 982(2) 1739(2) 2520(2) 2602(2) 2953(2) 2968(2) 3052(2) 3241(1) 3543(2) 4413(1) 4740(2) 4763(2) 4810(2) 5243(2) 5334(2) 5374(2) 5642(2) 5784(2) 6158(1) 6161(2) 6584(2) 6647(2) 6873(2) 7472(2) 7665(1) 9601(2) 9815(2) 9830(2) 9844(2) 10252(2) 10729(2) 11108(2) 12093(2) 13008(2) 13034(1) 13618(2) 14613(2) 15384(2) 15466(2) 15703(1) 15804(2) 16046(1)
8192;28;21;49;446(2) 2527(1) 4482(2) 5175(2) 6056(1) 6139(2) 6483(1) 6955(1) 7541(1) 7679(2) 8455(2) 8589(2) 8653(1) 8754(2) 9374(1) 9640(2) 9771(1) 10111(1) 10196(2) 10441(1) 10625(2) 11319(1) 12702(2) 12870(1) 12913(1) 13132(1) 13310(1) 13359(1) 13402(2) 13508(1) 13632(1) 13981(2) 13982(2) 13990(2) 13993(1) 13994(1) 14062(2) 14146(1) 14244(2) 14816(1) 14847(1) 14879(2) 14882(2) 15325(2) 15512(1) 15525(1) 15780(1) 15864(1) 16015(1)
260;2;46;48;331(2) 341(2) 415(2) 1551(2) 1797(2) 2636(2) 3026(2) 4383(2) 5182(2) 5611(2) 6199(2) 6685(2) 7089(2) 7093(2) 7094(2) 7095(2) 7141(2) 7387(2) 7602(2) 8083(2) 8151(2) 8152(2) 8153(2) 8385(2) 8696(2) 9120(2) 9146(2) 9809(2) 10421(2) 10731(2) 11076(2) 11180(2) 11316(1) 11733(2) 12212(2) 12455(2) 13192(1) 13391(2) 13392(2) 13688(2) 14287(2) 14487(2) 14490(2) 14491(2) 15222(2) 15282(2) 15283(2) 15344(2)
889;14;34;48;169(2) 1104(2) 1677(2) 1796(2) 1991(2) 2070(1) 2553(2) 2571(2) 2858(2) 3124(2) 3725(1) 4575(1) 4762(2) 5131(2) 5132(2) 5509(1) 5682(2) 6005(1) 6455(2) 7410(1) 7457(2) 7665(1) 8135(1) 8205(2) 8571(2) 8916(2) 8931(2) 10978(2) 11049(1) 11167(2) 11314(1) 11341(2) 11422(1) 11523(2) 11836(2) 11923(2) 12875(1) 13826(2) 13829(2) 13847(1) 14425(2) 14651(2) 15189(2) 15257(2) 15317(2) 15318(2) 15636(1) 15948(2)
